year,occupation,numberOfworkers,sex,age
2021,Managers & Administrators (Including Working Proprietors),400,male,20 - 24
2020,Managers & Administrators (Including Working Proprietors),100,male,20 - 24
2019,Managers & Administrators (Including Working Proprietors),300,male,20 - 24
2018,Managers & Administrators (Including Working Proprietors),200,male,20 - 24
2017,Managers & Administrators (Including Working Proprietors),300,male,20 - 24
2016,Managers & Administrators (Including Working Proprietors),400,male,20 - 24
2015,Managers & Administrators (Including Working Proprietors),700,male,20 - 24
2014,Managers & Administrators (Including Working Proprietors),600,male,20 - 24
2013,Managers & Administrators (Including Working Proprietors),600,male,20 - 24
2012,Managers & Administrators (Including Working Proprietors),600,male,20 - 24
2011,Managers & Administrators (Including Working Proprietors),600,male,20 - 24
2010,Managers & Administrators (Including Working Proprietors),1200,male,20 - 24
2009,Managers & Administrators (Including Working Proprietors),800,male,20 - 24
2008,Managers & Administrators (Including Working Proprietors),900,male,20 - 24
2007,Managers & Administrators (Including Working Proprietors),900,male,20 - 24
2006,Managers & Administrators (Including Working Proprietors),0,male,20 - 24
2005,Managers & Administrators (Including Working Proprietors),600,male,20 - 24
2004,Managers & Administrators (Including Working Proprietors),700,male,20 - 24
2003,Managers & Administrators (Including Working Proprietors),400,male,20 - 24
2002,Managers & Administrators (Including Working Proprietors),500,male,20 - 24
2001,Managers & Administrators (Including Working Proprietors),900,male,20 - 24
2000,Managers & Administrators (Including Working Proprietors),1200,male,20 - 24
2021,Professionals,3800,male,20 - 24
2020,Professionals,2000,male,20 - 24
2019,Professionals,2800,male,20 - 24
2018,Professionals,2400,male,20 - 24
2017,Professionals,2500,male,20 - 24
2016,Professionals,1900,male,20 - 24
2015,Professionals,2600,male,20 - 24
2014,Professionals,2100,male,20 - 24
2013,Professionals,2300,male,20 - 24
2012,Professionals,3600,male,20 - 24
2011,Professionals,3400,male,20 - 24
2010,Professionals,5200,male,20 - 24
2009,Professionals,3600,male,20 - 24
2008,Professionals,4800,male,20 - 24
2007,Professionals,4100,male,20 - 24
2006,Professionals,0,male,20 - 24
2005,Professionals,2800,male,20 - 24
2004,Professionals,2200,male,20 - 24
2003,Professionals,2600,male,20 - 24
2002,Professionals,2800,male,20 - 24
2001,Professionals,4100,male,20 - 24
2000,Professionals,3300,male,20 - 24
2021,Associate Professionals & Technicians,7300,male,20 - 24
2020,Associate Professionals & Technicians,7100,male,20 - 24
2019,Associate Professionals & Technicians,8600,male,20 - 24
2018,Associate Professionals & Technicians,9000,male,20 - 24
2017,Associate Professionals & Technicians,8100,male,20 - 24
2016,Associate Professionals & Technicians,10200,male,20 - 24
2015,Associate Professionals & Technicians,8900,male,20 - 24
2014,Associate Professionals & Technicians,8000,male,20 - 24
2013,Associate Professionals & Technicians,8200,male,20 - 24
2012,Associate Professionals & Technicians,9300,male,20 - 24
2011,Associate Professionals & Technicians,8200,male,20 - 24
2010,Associate Professionals & Technicians,8100,male,20 - 24
2009,Associate Professionals & Technicians,6900,male,20 - 24
2008,Associate Professionals & Technicians,7800,male,20 - 24
2007,Associate Professionals & Technicians,8500,male,20 - 24
2006,Associate Professionals & Technicians,0,male,20 - 24
2005,Associate Professionals & Technicians,7400,male,20 - 24
